Title,imdbID,Rating,WatchedDate,Tags,Review
叶问4：完结篇 / 葉問4：完結篇,tt2076298,4,2020/3/11,null,其实只看过叶问2...还是在同学家里的电视上看的。我并不是这个系列的粉丝，单从路人的视角看的话，甄子丹的打戏还是那么帅，每次出手比武的理由还是很单调，这次又加入了叶问儿子的戏份，稍微有点尬，不过瑕不掩瑜，总体上看的很过瘾。
奇异博士 / Doctor Strange,tt1211837,5,2020/3/8,null,这部是补片！复仇者联盟系列大部分影片都看过了，唯独少了这个。主要讲的是博士能力的由来，古一法师看起来非常厉害但是没有活到最后，死因有点莫名其妙。结尾部分不够高潮，我以为会是漫威常用的爆裂式画面，奇异博士大显身手扭转局面，有点遗憾，不过冲着漫威情怀，还是要给五星！
浪漫医生金师傅2 / 낭만닥터 김사부2,tt11504740,4,2020/3/3,null,本想给三星的，但是考虑到我很喜欢两位主演...还是打四星吧。第一部口碑很不错，可惜我没有看过，单就第二部讲的故事来说有点乏味，制造情节上的冲突也有些刻意，当然少不了的还是韩剧中惯有的两两组cp，没啥新鲜感。韩石圭的演技很棒！一出场就很有feel，真不愧是大男主啊！
老广的味道 第四季,null,4,2020/3/3,null,好久没看过美食类的纪录片啦，再次点名批评舌尖上的中国三，看看人家广东台拍出来的水准，再看看你，就只会植入广告...扯远了。说回这部，许多镜头构思很棒，对我们想看的食物特写给的也很足，大晚上的看这个真是饿呀。再一个，作为北方人，远在千里之外的沿海地区对我来说相当陌生，了解了不少新鲜事物。个人非常喜欢。
决战中途岛 / Midway,tt6924650,4,2020/2/25,null,空战场面宏大震撼，电影节奏把控也很好，但是对我来说惊喜感不足，除开空战的部分稍感乏味，给四星吧。
冰雪奇缘2 / Frozen II,tt4520988,5,2020/2/12,null,null
新世界,tt11459562,3,2020/2/7,null,null
庆余年 第一季,tt11273352,5,2020/1/28,null,null
囧妈,tt11172926,3,2020/1/26,null,null
奇葩说 第六季,null,4,2020/1/8,null,null
